Author,Quote,URL
Александр Поуп ,"Слова подобны листьям: дерево, производящее их очень много, приносит очень мало плодов. ",http://forismatic.com/ru/38ac088d14/
Будда Гаутама,"Ведь некоторые не знают, что нам суждено здесь погибнуть. У тех же, кто знает это, сразу прекращаются ссоры. ",http://forismatic.com/ru/6b146f918e/
Будда Гаутама,"Не потому он старший, что его голова седа. Он в преклонном возрасте, но называют его «состарившимся напрасно». ",http://forismatic.com/ru/ef17c28552/
Будда Гаутама,"Победа порождает ненависть; побеждённый живет в печали. В счастье живет спокойный, отказывающийся от победы и поражения. ",http://forismatic.com/ru/7dd5570782/
Джордано Бруно,"Капля долбит камень не силою, а часто падая. ",http://forismatic.com/ru/74e2ad1bcb/
Лев Толстой,"Тело человека хочет добра себе одному, и люди поддаются этому обману. А как только человек живет для одного своего тела, а не для души, так он расходится с людьми и с Богом и не получает того добра, которого ищет.",http://forismatic.com/ru/e1d7083514/
Пьер Буаст,Искусство слушать почти равносильно искусству хорошо говорить. ,http://forismatic.com/ru/05bdb7999d/
Роберт Энтони,"Если нет своей цели в жизни, то приходится работать на того, у кого она есть.",http://forismatic.com/ru/3958ef3a5b/
Шри Чинмой,Первое и последнее послание жизни: ожидай — и ты никогда не получишь. ,http://forismatic.com/ru/2df36a7008/
Эдуард Де Боно,"Совершенствуя дилижанс, можно создать совершенный дилижанс; но первоклассный автомобиль — едва ли. ",http://forismatic.com/ru/35ce310b6b/
